claim_id,claim_text,status,source_files,source_scripts,target_figure_or_table,risk_level,main_or_appendix
C178,rMD17 aspirin DML reduces force MAE 25-40x over vanilla baseline 725.3 to 17.9-28.8 meV/A,supported,results/molecular_painn/,experiments/molecular/run_painn.py,tab:rmd17-aspirin,high,main
C179,SchNetPack native_EF (0.01/0.99) ranks 1/6 on every PaiNN molecule (Friedman p=4.8e-9),supported,results/molecular_painn/,experiments/molecular/run_painn.py;cd_diagram.py,fig:rmd17-force-mae;fig:cd-rmd17,high,main
C180,Burgers IC dml_fixed_half cuts vanilla value MSE 6x (4.9e-1 to 8.2e-2),supported,results/burgers/ic/,scripts/run_burgers_experiment.py,fig:pde-bare-ic,high,main
C181,Darcy IC dml_fixed_half cuts vanilla value MSE ~30% (1.4e-3 to 9.4e-4),supported,results/darcy/ic/,scripts/run_darcy_experiment.py,fig:pde-bare-ic,medium,main
C182,PDE bare regime TOST-equivalent across all six methods at log10(1.05) margin,supported,results/burgers/bare/;results/darcy/bare/,run_burgers_experiment.py;run_darcy_experiment.py,tab:pde-bare-perm,medium,main
C183,Burgers bare value MSE ~3.418e-1 across all 6 methods (n=20 seeds),supported,results/burgers/bare/,scripts/run_burgers_experiment.py,tab:pde-bare-perm,low,main
C184,Darcy bare value MSE ~1.3-1.5e-2 across all 6 methods (n=20 seeds),supported,results/darcy/bare/,scripts/run_darcy_experiment.py,tab:pde-bare-perm,low,main
C185,ERA5 bare DML reduces grad MSE ~10% at value-MSE parity Wilcoxon p<0.01,supported,results/era5/bare/,scripts/run_era5_experiment.py,tab:era5-bare-state,high,main
C186,ERA5 state-aug pays +10-19% value MSE for -30% grad-MSE win,supported,results/era5/state/,scripts/run_era5_experiment.py,tab:era5-bare-state,high,main
C187,ERA5 geostrophic wind MAE in synoptic range 5.5-6.8 m/s,supported,results/era5/bare/;results/era5/state/,scripts/run_era5_experiment.py,tab:era5-bare-state,medium,main
C188,ERA5 6x512 architecture sweep reproduces Pareto sign at every cell,supported,results/era5/bare/;results/era5/state/,scripts/run_era5_experiment.py,tab:era5-arch-sensitivity,medium,appendix
C189,Heston barrier narrow [0.7K-1.3K] dml_fuzzy_warmup price MSE 0.23e-5 vs vanilla 2.10e-5 (9x),supported,results/heston_barrier_4way/multi_seed/,experiments/heston_barrier_4way/,tab:heston-barrier-multi-seed,high,main
C190,Heston barrier narrow quintic polynomial in S0 fits 0.016e-5 (loses to none on price),supported,results/heston_barrier_4way/v0_extension/polynomial_2d_baselines.json,experiments/heston_barrier_4way/,tab:heston-barrier-multi-seed,high,main
C191,Heston barrier wide [0.5K-1.5K] vanilla delta MSE 2.43e-3 quintic 1.67e-3,supported,results/heston_barrier_4way/multi_seed_widerange/,experiments/heston_barrier_4way/,tab:heston-barrier-multi-seed,high,main
C192,Heston barrier wide best DML beats quintic delta MSE by 0.11x ratio,supported,results/heston_barrier_4way/multi_seed_widerange/,experiments/heston_barrier_4way/,tab:heston-barrier-multi-seed,high,main
C193,BEL-2D multi-step LRM derived for Heston (chen2007malliavin extension),supported,results/heston_barrier_4way/multi_seed/,experiments/heston_barrier_4way/,app:heston-lrm-bel2d,medium,appendix
C194,Heston barrier multi-seed 5 seeds x 12 methods (60+ JSONs) per spot range,supported,results/heston_barrier_4way/multi_seed/;results/heston_barrier_4way/multi_seed_widerange/,experiments/heston_barrier_4way/run_multi_seed.py,tab:heston-barrier-multi-seed,medium,appendix
C195,BS barrier multi-step n-sweep n in {2 4 8 16} 5 seeds per (method n),supported,results/heston_barrier_4way/bs_n_sweep/,experiments/heston_barrier_4way/run_bs_n_sweep.py,tab:bs-n-sweep,medium,appendix
C196,BS barrier dml_fuzzy_warmup is best at every n improving from 0.112 (n=2) to 0.316 (n=16),supported,results/heston_barrier_4way/bs_n_sweep/,experiments/heston_barrier_4way/run_bs_n_sweep.py,tab:bs-n-sweep,medium,appendix
C197,BS barrier quintic poly fit ratio 7.3x to 37x to 17x to 5.9x relative to best DML at n=2/4/8/16,supported,results/heston_barrier_4way/bs_n_sweep/n_sweep_summary.json,experiments/heston_barrier_4way/run_bs_n_sweep.py,tab:bs-n-sweep,medium,appendix
C198,Pathwise+warmup degrades 8x at n=2 to 167x at n=16 missing Dirac per monitor,supported,results/heston_barrier_4way/bs_n_sweep/,experiments/heston_barrier_4way/run_bs_n_sweep.py,tab:bs-n-sweep,low,appendix
C199,Heston V0 extension experiment 5 seeds x 4 methods,supported,results/heston_barrier_4way/v0_extension/,experiments/heston_barrier_4way/run_v0_extension.py,narrative,low,appendix
C200,Trig extrapolation arch axis 4 architectures x 18 sigmas x 5 seeds (~360 cells),supported,results/extrapolation_M1/,experiments/extrapolation/pilot_periodic_extrap.py,tab:arch-sigma-star,high,appendix
C201,SIREN near-extrap sigma_star 1.157 mean log-ratio -0.20 at sigma=0,supported,results/extrapolation_M1/sigma_star_summary.csv,experiments/extrapolation/pilot_periodic_extrap.py,tab:arch-sigma-star,high,appendix
C202,Softplus near-extrap left-censored sigma_star=0 mean log-ratio +0.17 at sigma=0,supported,results/extrapolation_M1/sigma_star_summary.csv,experiments/extrapolation/pilot_periodic_extrap.py,tab:arch-sigma-star,medium,appendix
C203,Snake near-extrap left-censored sigma_star=0 mean log-ratio +0.86 at sigma=0,supported,results/extrapolation_M1/sigma_star_summary.csv,experiments/extrapolation/pilot_periodic_extrap.py,tab:arch-sigma-star,medium,appendix
C204,Fourier-linear sigma_star 0.518 across all three regions to 3 decimal places,supported,results/extrapolation_M1/sigma_star_summary.csv,experiments/extrapolation/pilot_periodic_extrap.py,tab:arch-sigma-star,high,appendix
C205,Geometry-axis grid 360 cells (2 funcs x 3 dims x 2 ntrains x 2 modes x 3 methods x 5 seeds),supported,results/extrapolation_M2/,experiments/extrapolation/aggregate_m2.py,tab:geom-delta-pct,medium,appendix
C206,trig d=10 n=2048 halfspace +688% vs vanilla,supported,results/extrapolation_M2/m2_delta_pct.csv,experiments/extrapolation/aggregate_m2.py,tab:geom-delta-pct,high,main
C207,trig d=5 n=512 halfspace +542% vs vanilla,supported,results/extrapolation_M2/m2_delta_pct.csv,experiments/extrapolation/aggregate_m2.py,tab:geom-delta-pct,medium,main
C208,poly_trig under halfspace 9.9-68% DML benefit retained,supported,results/extrapolation_M2/m2_delta_pct.csv,experiments/extrapolation/aggregate_m2.py,tab:geom-delta-pct,medium,main
C209,Radial extrapolation reduces value MSE 50-98% on every (d ntrain) pair,supported,results/extrapolation_M2/m2_delta_pct.csv,experiments/extrapolation/aggregate_m2.py,tab:geom-delta-pct,medium,appendix
C210,SIREN OOS-grad augmentation closes near- and far-extrap gap,supported,results/extrapolation_M1_DA/,experiments/extrapolation/domain_adapt.py,tab:oos-grad-augment,medium,appendix
C211,OOS-augment near-extrap sigma_star 1.16->3.00* (right-censored),supported,results/extrapolation_M1_DA/,experiments/extrapolation/domain_adapt.py,tab:oos-grad-augment,medium,appendix
C212,OOS-augment far-extrap sigma_star 0.007->0.98 substantial improvement,supported,results/extrapolation_M1_DA/,experiments/extrapolation/domain_adapt.py,tab:oos-grad-augment,medium,appendix
C213,Closed-form Fourier-linear sigma_star = 11.83 sigma_y at K=5 lambda=1,supported,results/closed_form_a1_a2/a1b_K5.csv,experiments/closed_form_solver.py,tab:closed-form-verification;thm:sigma-star-fourier,high,main
C214,Closed-form Fourier-linear sigma_star = 6.44 sigma_y at K=1 lambda=1,supported,results/closed_form_a1_a2/a1a_K1.csv,experiments/closed_form_solver.py,tab:closed-form-verification,medium,appendix
C215,Closed-form solver matches MC 1.183 vs 1.146 (-3.1%) at N=500 4000 trials,supported,results/closed_form_a1_a2/a1b_K5.csv,experiments/closed_form_solver.py,tab:closed-form-verification,medium,main
C216,Aliasing example K=5 K'=7 N=24 derivative inner product 1380x value inner product,supported,results/closed_form_a1_a2/a2_aliasing.json,experiments/closed_form_solver.py,narrative,low,appendix
C217,Higher-order DML order 0/1/2 ablation on poly_trig and trig at d in {2 5 10},partial,results/higher_order_dml/ (missing-source),experiments/higher_order_dml.py,tab:higher-order-dml,medium,appendix
C218,Higher-order DML poly_trig d=2 order 2 reaches 3.3e-8 (best),partial,results/higher_order_dml/ (missing-source),experiments/higher_order_dml.py,tab:higher-order-dml,medium,appendix
C219,Higher-order DML adds 1.2-17x reduction on poly_trig with Hessian,partial,results/higher_order_dml/ (missing-source),experiments/higher_order_dml.py,tab:higher-order-dml,medium,appendix
C220,Higher-order DML K=2 wall-clock 3-7x of K=1,partial,results/higher_order_dml/ (missing-source),experiments/higher_order_dml.py,narrative,low,appendix
C221,rMD17 tau-sweep 15 PaiNN runs (3 taus x 5 seeds) on aspirin,supported,results/rmd17_tau_sweep/,experiments/molecular/run_painn.py,tab:rmd17-tau-sweep;fig:rmd17-tau-sensitivity,high,main
C222,rMD17 tau=0.10 PaiNN aspirin force MAE 74.1+-21.1 (best),supported,results/rmd17_tau_sweep/,experiments/molecular/run_painn.py,tab:rmd17-tau-sweep,high,main
C223,rMD17 tau=0.50 PaiNN aspirin 713.2+-46.1 (regress to vanilla),supported,results/rmd17_tau_sweep/,experiments/molecular/run_painn.py,tab:rmd17-tau-sweep,high,main
C224,rMD17 reducing tau from 0.5 to 0.1 recovers 9.6x in force-MAE quality,supported,results/rmd17_tau_sweep/,experiments/molecular/run_painn.py,tab:rmd17-tau-sweep,medium,main
C225,SPY warmup loses 60-79% to vanilla on temporal split,supported,results/spy_options_temporal_optionA/;results/spy_options_temporal_optionC/,experiments/real_data_spy/run_spy_temporal.py,narrative,medium,main
C226,Warmup-as-noise-curriculum mechanism: phase1 insulates price branch from noisy gradient labels,partial,results/heston_barrier_4way/noise_curriculum/;results/spy_options_temporal_*/;results/molecular_painn/,various,narrative,high,main
C227,Heston barrier label-noise sweep sigma in {0 0.1 0.5 1.0} gives ratios 1.31/1.28/0.38/0.23,supported,results/heston_barrier_4way/noise_curriculum/,experiments/heston_barrier_4way/run_noise_curriculum.py,narrative,medium,main
C228,Domain-coverage matrix 6 domains x 6 difficulty axes (Smooth Disc MC OOS HighDim Real),supported,paper/sections/03_benchmark_design.tex,n/a (paper claim),tab:domain-coverage,high,main
C229,SPY synthetic 13000 runs subset under sigma=0 cells,partial,results/tier3_benchmark/;results/tier4_benchmark/,run_full_benchmark.py,tab:headline,high,main
C230,Disc-payoff sub-benchmark 660 runs,supported,results/unified_comparison/multi_seed/,experiments/unified_comparison/run_unified_experiment.py,tab:headline,medium,main
C231,Heston barrier extension 120 runs total,supported,results/heston_barrier_4way/multi_seed/;results/heston_barrier_4way/multi_seed_widerange/,experiments/heston_barrier_4way/,tab:headline,medium,main
C232,rMD17 250 runs across 3 architectures (10 mol x 5 split x 5 methods),supported,results/molecular_painn/;results/molecular_mlp/;results/molecular_gatv2/,experiments/molecular/,tab:headline,medium,main
C233,PDE Burgers/Darcy IC 240 runs (2 datasets x 6 methods x 20 seeds),supported,results/burgers/ic/;results/darcy/ic/,scripts/run_burgers_experiment.py;scripts/run_darcy_experiment.py,tab:headline,medium,main
C234,ERA5 60 runs (2 archs x 5 seeds x 2 regimes x 3 methods),supported,results/era5/bare/;results/era5/state/,scripts/run_era5_experiment.py,tab:headline,medium,main
C235,Trig extrapolation 1500 runs (M1 + M2 combined),supported,results/extrapolation_M1/;results/extrapolation_M2/,experiments/extrapolation/,tab:headline,medium,main
C236,Heston barrier label-noise warmup-as-curriculum confirms negative-control sigma=0 ratio 1.31 (DML hurt),supported,results/heston_barrier_4way/noise_curriculum/,experiments/heston_barrier_4way/run_noise_curriculum.py,narrative,medium,main
C237,Far-extrapolation defeats every neural architecture (no positive sigma_star at any tested noise),supported,results/extrapolation_M1/sigma_star_summary.csv,experiments/extrapolation/pilot_periodic_extrap.py,tab:arch-sigma-star,medium,main
C238,Polynomial-in-spot baseline missing from prior DML benchmarks (huge2020/glasserman2025/sakuma20260dte),unsupported,?,?,narrative,low,main
C239,SPY Wilcoxon p<=0.002 across DML methods on temporal,supported,results/spy_options_temporal_optionA/,experiments/real_data_spy/run_spy_temporal.py,tab:spy-bs-temporal,medium,appendix
C240,SPY purged-CV BS-target fixed-lambda DML deltas {-69 -44 -48 -39 +2879}% across folds 0-4,supported,results/spy_options_purged_cv_optionA/,experiments/real_data_spy/run_spy_purged_cv.py,fig:spy-purged-cv-per-fold,medium,appendix
C241,SPY purged-CV SVI-supervised fixed-lambda DML deltas {-70 -37 -53 -22 +47}%,supported,results/spy_options_purged_cv_optionC/,experiments/real_data_spy/run_spy_purged_cv.py,fig:spy-purged-cv-per-fold,medium,appendix
C242,Classical baselines matched 64% train DML wins 50% vs GP,supported,results/classical_matched_split/,scripts/run_classical_matched_split.py,narrative,medium,appendix
C243,Classical baselines matched 64% train DML wins 83.6% vs KRR (n=225),supported,results/classical_matched_split/,scripts/run_classical_matched_split.py,narrative,medium,appendix
C244,Classical baselines matched 64% train DML wins 74.7% vs RF (n=225),supported,results/classical_matched_split/,scripts/run_classical_matched_split.py,narrative,medium,appendix
C245,Classical matched-split corpus 990 cells,supported,results/classical_matched_split/,scripts/run_classical_matched_split.py,narrative,low,appendix
C246,Aggregate paired log10 ratio fixed-lambda DML vs vanilla -0.556 value -1.069 grad at sigma=0 (n=1050),supported,results/tier3_benchmark/;results/tier4_benchmark/,run_full_benchmark.py;winrate_two_metric.py,narrative,medium,appendix
C247,LOFO sign preserved on every variant largest shift when poly_trig removed,supported,results/tier3_benchmark/;results/tier4_benchmark/,run_full_benchmark.py;winrate_two_metric.py,narrative,medium,appendix
C248,Single-cell sensitivity removing top-5 outliers shifts R1 by <=0.001 value <=0.0005 grad,supported,results/tier3_benchmark/;results/tier4_benchmark/,run_full_benchmark.py;winrate_two_metric.py,narrative,low,appendix
C249,P6 corruption sweep 750 cells (5 corruptions x 5 severities x 3 methods x 5 seeds x 5 cells/severity),supported,results/p6_corruption/ (missing-source),scripts/run_p6_corruption.py,tab:p6-corruption,medium,appendix
C250,P7 fuzzy-2D bandwidth sweep on 2D barrier-BS 105 cells,supported,results/p7_fuzzy_2d/,scripts/run_fuzzy_sensitivity.py,app:supplemental-fuzzy,low,appendix
C251,P8 SPY proxy-label stress sweep 400 cells (6 sigmas x methods x seeds),supported,results/p8_spy_proxy_stress/,scripts/run_p8_spy_proxy_stress.py,app:supplemental-p8,low,appendix
C252,P9 dim-normalised GradNorm null result 75 cells (5 dims x 5 seeds x 3 methods),supported,results/p9_dimnorm_gradnorm/,scripts/run_p9_dimnorm.py,app:supplemental-p9,low,appendix
C253,Balancer-sensitivity grid synth 280 cells (GradNorm alpha + ReLoBRaLo tau on 4 datasets),supported,results/balancer_sensitivity/,scripts/run_balancer_sensitivity.py,tab:gradnorm-relobralo-sens,medium,appendix
C254,ReLoBRaLo synthetic value MSE monotone in tau 2.97 3.00 3.27 3.30 at tau 0.1/0.25/0.5/1.0,supported,results/balancer_sensitivity/synthetic/,scripts/run_balancer_sensitivity.py,tab:gradnorm-relobralo-sens,low,appendix
C255,GradNorm Burgers IC degrades sharply at alpha=2.0 (0.52+-0.74 vs 0.23 at alpha=1),supported,results/balancer_sensitivity/burgers_ic/,scripts/run_balancer_sensitivity.py,tab:gradnorm-relobralo-sens,low,appendix
C256,dml_softmax_balance vs dml_relobralo synth tied (+0.009 value +0.014 grad median paired log-ratio),supported,results/molecular_gatv2/;results/molecular_mlp/,various,tab:softmax-balance-comparison,medium,appendix
C257,dml_softmax_balance wins all 50/50 cells on rMD17 GATv2 with -0.605 median paired log-ratio (4x MSE reduction),supported,results/molecular_gatv2/,experiments/molecular/run_gatv2.py,tab:softmax-balance-comparison,medium,appendix
C258,SPY 6 methods x 5 folds x 10 seeds x 2 sample sizes per supervisor (300 cells each),supported,results/spy_options_purged_cv_optionA/;results/spy_options_purged_cv_optionC/,experiments/real_data_spy/run_spy_purged_cv.py,fig:spy-purged-cv-per-fold,medium,appendix
C259,rMD17 PaiNN 350 result records (10 mol x 5 split x 7 methods),supported,results/molecular_painn/,experiments/molecular/run_painn.py,tab:rmd17-by-molecule,medium,appendix
C260,rMD17 cross-arch GATv2 best DML fixed_half 114.4+-38 meV/A,supported,results/molecular_gatv2/,experiments/molecular/run_gatv2.py,tab:rmd17-cross-arch,medium,appendix
C261,rMD17 cross-arch MLP-pairwise best DML fixed 220.3+-168 Cart MSE,supported,results/molecular_mlp/,experiments/molecular/run_mlp_molecular.py,tab:rmd17-cross-arch,medium,appendix
C262,rMD17 cross-arch GATv2 vanilla 692.0+-177 meV/A,supported,results/molecular_gatv2/,experiments/molecular/run_gatv2.py,tab:rmd17-cross-arch,medium,appendix
C263,rMD17 PaiNN vanilla force MAE per-molecule range 65 (benzene) to 725.3 (aspirin),supported,results/molecular_painn/,experiments/molecular/run_painn.py,tab:rmd17-by-molecule,medium,appendix
C264,rMD17 PaiNN native_EF per-molecule range 3.3-21.2 meV/A,supported,results/molecular_painn/,experiments/molecular/run_painn.py,tab:rmd17-by-molecule,medium,appendix
C265,Heston narrow vanilla price MSE 2.10e-5+-1.60 (n=5 seeds),supported,results/heston_barrier_4way/multi_seed/,experiments/heston_barrier_4way/run_multi_seed.py,tab:heston-barrier-multi-seed,medium,appendix
C266,Heston narrow dml_lrm_fixed price MSE 33.7e-5+-8.9 (LRM variance penalty),supported,results/heston_barrier_4way/multi_seed/,experiments/heston_barrier_4way/run_multi_seed.py,tab:heston-barrier-multi-seed,medium,appendix
C267,Heston multistep BEL-2D dml_lrm_multistep_warmup 1.39e-5+-0.81 narrow price,supported,results/heston_barrier_4way/multi_seed/,experiments/heston_barrier_4way/run_multi_seed.py,tab:heston-barrier-multi-seed,medium,appendix
C268,SPY temporal SVI-supervised n_train=10000 vanilla 1.2e-8 dml_fixed 1.2e-8 (within seed dispersion),supported,results/spy_options_temporal_optionC/,experiments/real_data_spy/run_spy_temporal.py,tab:spy-svi-temporal,medium,appendix
C269,SPY temporal SVI-supervised n_train=50000 vanilla 6.4e-10 to dml_fixed 2.7e-10,supported,results/spy_options_temporal_optionC/,experiments/real_data_spy/run_spy_temporal.py,tab:spy-svi-temporal,medium,appendix
C270,Heston eps_sweep_fuzzy 25 cells fuzzy bandwidth ablation,supported,results/heston_barrier_4way/eps_sweep_fuzzy/,experiments/heston_barrier_4way/run_eps_sweep_fuzzy.py,narrative,low,appendix
C271,Heston cg_variance_check 40 cells LRM nstep variance,supported,results/heston_barrier_4way/cg_variance_check/,experiments/heston_barrier_4way/run_cg_variance.py,narrative,low,appendix
C272,Heston gk_replication 21 cells Glasserman-Kou replication,supported,results/heston_barrier_4way/gk_replication/,experiments/heston_barrier_4way/run_gk_replication.py,narrative,low,appendix
C273,Heston bs_reproduction 20 cells BS Heston-form reproduction,supported,results/heston_barrier_4way/bs_reproduction/,experiments/heston_barrier_4way/run_bs_reproduction.py,narrative,low,appendix
C274,Released JSON corpus regenerates every table without retraining,supported,results/,evidence/ aggregators,narrative,low,main
C275,Wall-clock breakdown synthetic ~250 GPU-h rMD17 ~230h PDE ~370h SPY ~145h ERA5+extrap+ablations ~35h,unsupported,?,?,narrative,low,main
